L-wrist,R-wrist,L-elbow,R-elbow,L-shoulder,R-shoulder,L-knee,R-knee,L-ankle,R-ankle,L-hip,R-hip,Pose_Label
160.6525274,179.5700823,179.8856117,172.4000219,177.9446547,192.2413424,204.5445237,204.1334468,167.0720734,167.4072404,195.0125313,14.00185973,adho mukha svanasana
146.3435061,152.6226027,172.2676035,166.0813789,195.263867,195.4622944,178.0864427,178.154343,114.5571403,116.5914384,238.3408272,57.51945194,adho mukha svanasana
168.6977744,180.3891357,160.6018932,160.3476418,195.0161466,191.3542945,203.9747094,188.1047557,150.9215687,142.2935864,86.2840411,100.4636732,adho mukha svanasana
231.9878902,217.9794566,189.1549727,182.9191893,163.4164688,165.2119094,186.8037129,185.8309459,255.6609239,247.6044618,28.53678575,152.2485363,adho mukha svanasana
205.9095594,195.4591623,191.661639,188.9879165,180.3437226,180.4148311,182.1909999,182.16571,241.7866258,236.3783901,225.885023,45.80513629,adho mukha svanasana
141.3177035,158.6995911,170.2335729,165.0257405,187.958282,189.1407774,176.5718962,173.9184004,105.3203701,97.55880694,17.19604202,164.2741822,adho mukha svanasana
172.5525774,165.273328,174.8674255,170.2739464,160.5690839,166.4778815,190.0065794,186.7385868,132.3034668,114.4925244,65.70391679,118.564404,adho mukha svanasana
217.7007916,208.4740229,204.6427791,194.626224,169.9310185,172.9574291,177.0990886,177.9098798,243.3583255,245.8325304,105.248053,74.13550768,adho mukha svanasana
229.4271572,220.8658892,193.815849,185.5084489,165.8526013,168.7733968,179.1891308,179.2718565,244.9793347,239.5952442,33.02050636,146.3301397,adho mukha svanasana
230.085756,221.9069678,194.1470572,187.7877583,173.2099763,178.0324254,179.4947763,177.9657454,257.5258802,250.5388594,13.58833428,167.1651122,adho mukha svanasana
124.1991049,156.7812575,169.2220403,166.1490077,212.2651878,207.2748876,183.2808085,164.2064259,121.8848358,95.90850621,196.1510248,239.3949584,adho mukha svanasana
133.409812,145.5182306,160.0172678,163.5544256,185.1271546,187.7461831,183.1085938,163.8202363,147.8479513,143.9738409,228.588475,74.89218794,adho mukha svanasana
222.2564752,203.927335,192.0590772,188.7511162,165.5130627,161.2357506,178.2818208,168.0014085,245.0249167,231.5535939,94.75814143,87.28853372,adho mukha svanasana
144.1099406,155.4809784,159.0802159,159.249335,179.2474871,177.8566143,182.5674498,182.6779527,123.9486125,119.2750921,63.10722674,116.854616,adho mukha svanasana
215.9367845,204.897254,197.9312635,200.0442128,175.1098066,175.5459317,179.7049344,175.6994947,254.6246664,260.3143627,53.79896393,126.8746859,adho mukha svanasana
227.5907223,216.9766921,190.5106546,189.966159,165.6787958,165.6354926,161.7770608,160.2890999,245.9420621,240.8338328,109.2327768,70.68817214,adho mukha svanasana
107.4265313,104.9957203,187.3523455,187.8143636,171.6080591,174.6361729,182.3221261,180.4709818,250.8909627,232.8878395,27.21308247,153.4544467,adho mukha svanasana
157.5017865,143.9031203,183.2704192,181.8120314,174.8663418,173.0582452,184.3209047,183.7239847,78.45988686,124.9280982,280.2695885,98.57925766,adho mukha svanasana
211.989189,218.0252291,190.3322551,183.8039972,162.6518829,170.0736579,171.1738338,163.7959622,221.8255938,229.8361065,88.3315819,86.13708774,adho mukha svanasana
206.6986954,211.6721602,200.5692405,193.0273648,174.9970186,175.8506817,181.5142896,174.7244836,210.6576776,197.1248948,249.0283365,85.81469006,adho mukha svanasana
141.6813094,210.0333227,198.6158199,198.2582151,192.5861114,191.3739952,179.9990592,181.3053712,236.6204348,238.7019312,92.4984181,85.72267158,adho mukha svanasana
161.2895583,153.5958684,156.8605896,159.9626292,189.219619,189.8572246,180.6407562,183.2426856,115.8644817,115.2216629,27.94237584,150.4141373,adho mukha svanasana
149.0893561,150.5166866,159.5663204,169.4367608,198.2259865,196.9984724,182.520035,177.6370224,152.4100559,141.8037979,84.38260226,267.3322307,adho mukha svanasana
142.4644437,164.7486155,68.31699779,66.67578861,125.9017291,112.0089165,45.354573,37.70720096,130.6471984,142.463621,9.089322492,196.9107825,balasana
197.0108114,160.9872434,169.670921,212.6389451,316.5449164,297.6514031,309.0588384,315.0087609,244.1654392,249.3650712,53.5951938,121.6863299,balasana
145.9822085,187.2773483,219.9528746,214.7327981,138.2655351,148.4251538,53.93822115,64.48212304,116.9087182,116.422348,191.0791933,10.24164924,balasana
124.5175789,143.1211608,205.1160653,201.8884547,146.8348454,149.6725637,54.44855516,66.60487529,115.077865,120.2349331,224.5611331,43.01689106,balasana
168.9043293,148.4224843,245.9166176,83.24305618,140.3929255,19.68915345,42.23679383,47.04174514,149.1605296,180.0906215,113.1689993,75.84538085,balasana
203.1644038,191.3636144,199.8078321,205.0382932,145.9180747,130.772432,51.151224,58.5726653,114.559878,122.798572,251.2770905,70.84747205,balasana
153.0647895,196.2903053,187.3534422,173.9259427,171.9172896,194.5579142,1.937413083,60.08093298,221.8734029,134.0731316,226.7486993,134.3797105,balasana
151.0980499,169.6971979,108.1404059,144.58841,311.2446846,234.2501646,307.5216424,287.6105285,240.9866172,230.2811837,130.4095689,46.85684294,balasana
